artist,price,date,venue,songid1,songid2,deleted
Shallou,$14/$16,11-20-2018,Bluebird Theater,6QcrReLyoun4xrPVsZ5OJE,3uSwz1gv799BQhkqgIgfSz,FALSE
All Them Witches,$17/$20,11-21-2018,Bluebird Theater,2EvUjCWg5zeaeKxGeOaHPh,3N02rdKYcUq6nabDpCRv7v,FALSE
Handsome Jack,$17/$20,11-21-2018,Bluebird Theater,3mKdULPjxqnWjbAEbzQVMo,1VpC1WWTZFd5BUIoiUCBNg,FALSE
Snakehips,$19.99 - $26.75,11-21-2018,Gothic Theatre,6TaqooOXAEcijL6G1AWS2K,0Zx8khUcEfCFK2AEoIhC92,FALSE
Dance Gavin Dance,$35/$38,11-23-2018,Ogden Theatre,3jITkO2u1H36DMiMAMJWHj,73XEi2vkcuHWF2m9wiOfbu,FALSE
Underoath,$35/$38,11-23-2018,Ogden Theatre,47IWLfIKOKhFnz1FUEUIkE,1kM2VS4HfIU6gNl1LTOQk0,FALSE
The Plot In You,$35/$38,11-23-2018,Ogden Theatre,4xDwCYhobDehSBGUmd5H6Y,3MIZp6COi5ZvoGPo6Rozqd,FALSE
Igorrr,$24.50-$34.50,11-24-2018,Fillmore Auditorium,3J0x3o1S55CX1gheqVvvj8,5gzz7JqAicUN1ORflYKTwQ,FALSE
Carpenter Brut,$24.50-$34.50,11-24-2018,Fillmore Auditorium,7oxnK2wg8qFv8EXyyxKDJ4,10qbHF920zH5K8C8IcE5AL,FALSE
Ministry,$24.50-$34.50,11-24-2018,Fillmore Auditorium,0BX3ysoHJvxmLEhPMAfb2z,0Vcpo9El50PNNbZXfKbNti,FALSE
Leprous,$25,11-24-2018,Bluebird Theater,1tBxs9BqNlBXbIxVaCBrv5,134I0qT6UrkDjhbI6bx0x3,FALSE
Haken,$25,11-24-2018,Bluebird Theater,0J1CIpL8IuUf0OyijwkMFj,3Llikc7f9KKGYwbrEfAYtk,FALSE
Bent Knee,$25,11-24-2018,Bluebird Theater,7zyqEO94zkVPhhLnqy18pt,1BVc3nm9nJpqIbCumwunw1,FALSE
Elvis Costello & The Imposters,$54.50,11-25-2018,Fillmore Auditorium,6tiFm2xnMKYE1YEtJcVueT,2IHsYQSJGjhna2xZ83ui2j,FALSE
Kasbo,$20-$30,11-25-2018,Ogden Theatre,3a1QSvzb3ypLc1QpXTs9mU,14oTuzcNwzAsBqzv5NRv6U,FALSE
Pale Waves,$16,11-26-2018,Bluebird Theater,4VmJghf3cYQT91WTEqJkfb,2fRKh3i8g61xgh6FSfe76q,FALSE
Tash Sultana,$39.75,11-27-2018,Fillmore Auditorium,3SkKLZFgKIY0DKX5Vro5jV,1HTqgP13dorct3BltLaB0l,FALSE
Novo Amor,$18.50,11-27-2018,Bluebird Theater,7qH9Z4dJEN0l9bidizW7fq,0u4rkpmNtgcFxYHepnVF4v,FALSE
Spinphony,$100-$250,11-28-2018,Bluebird Theater,11MRHLBBG7cOUxbKTVXlF5,33cZq5XgG8VoJCV09ByicJ,FALSE
The Lil Smokies,$20/$25,11-29-2018,Bluebird Theater,106wS7RzQ57SwzGuWr6KtJ,7y6pSKKMwCJ9jd0n1aKIF3,FALSE
